t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.327110588585875917e+02,-8.271106183392548417e+01,2.975337891313829981e-06,6.500000000000000000e+01,2.669999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.322606035674226916e+02,-8.226060355732366247e+01,-1.009902476368667476e-08,6.500000000000000000e+01,2.682999999999999829e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.321566523463846181e+02,-8.215665234405406636e+01,-2.330551986300252684e-09,6.500000000000000000e+01,2.685999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.318101482762577632e+02,-8.181014826848925736e+01,-7.768506269764455583e-09,6.500000000000000000e+01,2.696000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.318101482762577632e+02,-8.181014827625776320e+01,-8.708366605667980654e-17,6.500000000000000000e+01,2.696000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.316022458341816446e+02,-8.160224582952054106e+01,-4.661103746183171435e-09,6.500000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.316022458341816446e+02,-8.160224583418164457e+01,-5.225019945828811272e-17,6.500000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.316022458341816446e+02,-8.160224583418164457e+01,-5.857160647124555518e-25,6.500000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.316022458341816446e+02,-8.160224583418164457e+01,-6.565779882546027060e-33,6.500000000000000000e+01,2.701999999999999957e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.304934328097756691e+02,-8.049343278491645037e+01,-2.485921997964615076e-08,6.500000000000000000e+01,2.733999999999999986e+01,5.000000000000000000e+01,1.000000000000000000e+00
