t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934997227834041666e+01,2.899983380750529250e-06,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937835705921e+01,3.250833242963419316e-14,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937835703079e+01,3.644130115952953055e-22,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937835703079e+01,4.085009383591047532e-30,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937835703079e+01,4.579227725973533164e-38,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937835703079e+01,5.133238285952487196e-46,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.293499693783570308e+02,-7.934996937835703079e+01,5.754274929571546821e-54,6.500000000000000000e+01,2.767000000000000171e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.292460181573189857e+02,-7.924601815498843393e+01,-2.330551873091861169e-09,6.500000000000000000e+01,2.769999999999999929e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.282411563539511121e+02,-7.824115633142244519e+01,-2.252866813267828743e-08,6.500000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.282411563539511121e+02,-7.824115635395111212e+01,-2.525426310079306131e-16,6.500000000000000000e+01,2.798999999999999844e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.280332539118749935e+02,-7.803325390721388999e+01,-4.661103746183724819e-09,6.500000000000000000e+01,2.805000000000000071e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.100000000000000000e+01,5.000000000000000000e+01,1.275827986207100508e+02,-7.758279861061099325e+01,-1.009905816898141557e-08,6.500000000000000000e+01,2.817999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+01,1.271323433295451224e+02,-7.713234331944606481e+01,-1.009905822993998127e-08,6.500000000000000000e+01,2.830999999999999872e+01,5.000000000000000000e+01,1.000000000000000000e+00
