t,MV,MVP,MVI,MVD,SP,PV,DV,Man
0.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372792084443859e+01,2.624978259725700006e-06,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529586620203e+01,2.942557066159495023e-14,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
2.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529586617361e+01,3.298557637772576782e-22,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
3.000000000000000000e+00,5.000000000000000000e+01,1.171876765169042329e+02,-6.718767651923478468e+01,2.330551873091861169e-09,6.500000000000000000e+01,3.117999999999999972e+01,5.000000000000000000e+01,1.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+01,1.174302293659930427e+02,-6.743022937143099682e+01,5.437954396672592346e-09,6.500000000000000000e+01,3.110999999999999943e+01,5.000000000000000000e+01,1.000000000000000000e+00
5.000000000000000000e+00,5.000000000000000000e+01,1.172916277379423065e+02,-6.729162773483490412e+01,-3.107402436497064594e-09,6.500000000000000000e+01,3.114999999999999858e+01,5.000000000000000000e+01,1.000000000000000000e+00
6.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529120507011e+01,-4.661103781017187978e-09,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
7.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529586617361e+01,-5.225019984877165387e-17,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
8.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529586617361e+01,-5.857160690897111814e-25,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
9.000000000000000000e+00,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529586617361e+01,-6.565779931614336098e-33,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+01,1.170837252958661736e+02,-6.708372529586617361e+01,-7.360130340522840415e-41,6.500000000000000000e+01,3.121000000000000085e+01,5.000000000000000000e+01,1.000000000000000000e+00
